"ratio","threshold","n_targets","mean_x","empirical_cv","predicted_cv","cv_agreement","acc_cv","rel_error","failed_slides","cell_time_sec"
1,10,12489,10,45.48,44.85,0.63,1.38,0.414,0,1.3
1,25,12489,25,28.56,28.56,0.01,0.03,0.0148,0,1.2
1,50,12489,50.1,20.32,20.38,0.05,0.27,0.1272,0,1.1
1,100,12489,100.1,14.71,14.67,0.04,0.25,0.1246,0,1
1,200,12489,200.4,10.63,10.74,0.12,1.09,0.1869,0,1
1,400,12489,400.5,8.04,8.09,0.05,0.64,0.1344,0,1.1
2,10,24978,20,39.15,38.92,0.23,0.59,0.1605,0,1.4
2,25,24978,50.2,24.77,24.79,0.02,0.06,0.4494,0,1.4
2,50,24978,100.4,17.71,17.75,0.04,0.25,0.3733,0,1.3
2,100,24978,200.8,12.73,12.86,0.12,0.96,0.4001,0,1.5
2,200,24978,401,9.37,9.51,0.14,1.52,0.2624,0,1.5
2,400,24978,801.5,7.18,7.28,0.09,1.3,0.1892,0,1.5
3,10,37467,30,36.44,36.72,0.28,0.77,0.1357,0,1.7
3,25,37467,75.1,23.34,23.42,0.08,0.35,0.1945,0,1.6
3,50,37467,150.1,16.77,16.8,0.03,0.17,0.0527,0,1.6
3,100,37467,300.1,12.19,12.2,0.01,0.08,0.0352,0,1.7
3,200,37467,600.4,8.95,9.06,0.11,1.25,0.0694,0,1.7
3,400,37467,1202.1,6.87,6.98,0.12,1.68,0.1787,0,1.7
6,10,74934,60,34.24,34.38,0.14,0.42,0.0303,0,2.5
6,25,74934,149.9,21.96,21.96,0,0.02,-0.0359,0,2.6
6,50,74934,300,15.82,15.77,0.05,0.3,0.0117,0,2.5
6,100,74934,600.1,11.42,11.49,0.07,0.62,0.0107,0,2.5
6,200,74934,1201.3,8.5,8.59,0.09,1.02,0.1117,0,3
6,400,74934,2404.7,6.55,6.68,0.13,2,0.1943,0,2.8
10,10,124890,100.1,33.71,33.4,0.31,0.92,0.1341,0,4.2
10,25,124890,250.6,21.32,21.34,0.01,0.07,0.2413,0,3.9
10,50,124890,501.2,15.42,15.34,0.08,0.53,0.2381,0,3.9
10,100,124890,1002.1,11.3,11.2,0.1,0.92,0.2141,0,3.9
10,200,124890,2004.4,8.4,8.39,0,0.05,0.2207,0,3.9
10,400,124890,4007,6.62,6.55,0.06,0.96,0.1762,0,3.8
30,10,374670,299.1,32.46,32.39,0.07,0.23,-0.2969,0,11.1
30,25,374670,747.5,20.96,20.71,0.25,1.19,-0.3286,0,11
30,50,374670,1498.7,15.08,14.9,0.18,1.19,-0.0885,0,11.1
30,100,374670,3000.7,10.99,10.9,0.09,0.83,0.0225,0,11.3
30,200,374670,6001.1,8.18,8.19,0.01,0.17,0.018,0,11.4
30,400,374670,12003.4,6.39,6.43,0.04,0.63,0.0284,0,11.4
60,10,749340,601.4,32.32,32.13,0.19,0.59,0.2289,0,21.8
60,25,749340,1499.2,20.33,20.55,0.21,1.04,-0.0561,0,21.7
60,50,749340,2995.3,14.85,14.79,0.06,0.39,-0.1581,0,21.8
60,100,749340,5998.7,10.84,10.82,0.01,0.13,-0.0217,0,21.7
60,200,749340,12010.4,8.11,8.14,0.04,0.45,0.0867,0,22
60,400,749340,24028.1,6.33,6.39,0.06,0.95,0.1171,0,22.2
