"iteration","estimate"
1,7493.4
2,17484.6
3,7493.4
4,12489
5,9991.2
6,7493.4
7,22480.2
8,12489
9,22480.2
10,37467
11,4995.6
12,14986.8
13,37467
14,14986.8
15,7493.4
16,19982.4
17,0
18,14986.8
19,9991.2
20,9991.2
21,9991.2
22,19982.4
23,22480.2
24,7493.4
25,0
26,7493.4
27,7493.4
28,17484.6
29,17484.6
30,12489
31,12489
32,7493.4
33,9991.2
34,7493.4
35,12489
36,19982.4
37,9991.2
38,14986.8
39,7493.4
40,12489
41,2497.8
42,2497.8
43,7493.4
44,7493.4
45,4995.6
46,12489
47,9991.2
48,7493.4
49,7493.4
50,7493.4
51,12489
52,0
53,7493.4
54,9991.2
55,7493.4
56,14986.8
57,17484.6
58,2497.8
59,12489
60,22480.2
61,14986.8
62,9991.2
63,7493.4
64,19982.4
65,22480.2
66,14986.8
67,19982.4
68,29973.6
69,27475.8
70,2497.8
71,17484.6
72,27475.8
73,17484.6
74,37467
75,19982.4
76,32471.4
77,17484.6
78,14986.8
79,9991.2
80,32471.4
81,12489
82,7493.4
83,17484.6
84,19982.4
85,7493.4
86,12489
87,14986.8
88,14986.8
89,49956
90,32471.4
91,7493.4
92,14986.8
93,14986.8
94,7493.4
95,7493.4
96,12489
97,9991.2
98,37467
99,12489
100,19982.4
101,14986.8
102,9991.2
103,0
104,17484.6
105,4995.6
106,4995.6
107,17484.6
108,12489
109,12489
110,12489
111,17484.6
112,0
113,2497.8
114,2497.8
115,4995.6
116,2497.8
117,17484.6
118,12489
119,14986.8
120,9991.2
121,22480.2
122,9991.2
123,7493.4
124,4995.6
125,17484.6
126,9991.2
127,7493.4
128,22480.2
129,22480.2
130,7493.4
131,27475.8
132,24978
133,12489
134,4995.6
135,7493.4
136,14986.8
137,4995.6
138,27475.8
139,22480.2
140,9991.2
141,17484.6
142,9991.2
143,22480.2
144,22480.2
145,2497.8
146,7493.4
147,4995.6
148,4995.6
149,7493.4
150,9991.2
151,37467
152,0
153,12489
154,22480.2
155,12489
156,12489
157,7493.4
158,7493.4
159,7493.4
160,2497.8
161,7493.4
162,4995.6
163,9991.2
164,0
165,17484.6
166,9991.2
167,17484.6
168,14986.8
169,4995.6
170,9991.2
171,7493.4
172,9991.2
173,22480.2
174,27475.8
175,22480.2
176,7493.4
177,17484.6
178,7493.4
179,14986.8
180,14986.8
181,7493.4
182,14986.8
183,9991.2
184,14986.8
185,7493.4
186,4995.6
187,4995.6
188,14986.8
189,9991.2
190,12489
191,17484.6
192,19982.4
193,24978
194,24978
195,7493.4
196,12489
197,4995.6
198,9991.2
199,7493.4
200,9991.2
201,12489
202,4995.6
203,2497.8
204,9991.2
205,4995.6
206,7493.4
207,12489
208,17484.6
209,17484.6
210,9991.2
211,4995.6
212,7493.4
213,4995.6
214,4995.6
215,14986.8
216,12489
217,14986.8
218,0
219,2497.8
220,12489
221,19982.4
222,9991.2
223,37467
224,19982.4
225,2497.8
226,12489
227,12489
228,2497.8
229,17484.6
230,32471.4
231,7493.4
232,4995.6
233,29973.6
234,2497.8
235,14986.8
236,27475.8
237,27475.8
238,12489
239,19982.4
240,19982.4
241,19982.4
242,2497.8
243,17484.6
244,44960.4
245,19982.4
246,22480.2
247,7493.4
248,4995.6
249,7493.4
250,7493.4
251,7493.4
252,12489
253,14986.8
254,29973.6
255,7493.4
256,22480.2
257,7493.4
258,7493.4
259,19982.4
260,2497.8
261,7493.4
262,17484.6
263,9991.2
264,19982.4
265,22480.2
266,4995.6
267,9991.2
268,7493.4
269,22480.2
270,12489
271,9991.2
272,17484.6
273,22480.2
274,9991.2
275,2497.8
276,12489
277,7493.4
278,17484.6
279,7493.4
280,12489
281,9991.2
282,22480.2
283,4995.6
284,2497.8
285,4995.6
286,9991.2
287,29973.6
288,7493.4
289,19982.4
290,12489
291,4995.6
292,12489
293,14986.8
294,0
295,49956
296,4995.6
297,32471.4
298,12489
299,7493.4
300,14986.8
301,2497.8
302,17484.6
303,59947.2
304,4995.6
305,24978
306,17484.6
307,9991.2
308,7493.4
309,7493.4
310,7493.4
311,12489
312,0
313,12489
314,4995.6
315,4995.6
316,7493.4
317,22480.2
318,0
319,12489
320,7493.4
321,4995.6
322,12489
323,19982.4
324,4995.6
325,24978
326,14986.8
327,14986.8
328,4995.6
329,22480.2
330,22480.2
331,4995.6
332,7493.4
333,4995.6
334,7493.4
335,12489
336,12489
337,7493.4
338,9991.2
339,17484.6
340,7493.4
341,4995.6
342,12489
343,4995.6
344,19982.4
345,19982.4
346,17484.6
347,12489
348,14986.8
349,22480.2
350,4995.6
351,4995.6
352,9991.2
353,19982.4
354,2497.8
355,14986.8
356,12489
357,7493.4
358,2497.8
359,19982.4
360,19982.4
361,17484.6
362,19982.4
363,14986.8
364,7493.4
365,7493.4
366,27475.8
367,19982.4
368,14986.8
369,9991.2
370,22480.2
371,12489
372,14986.8
373,4995.6
374,0
375,32471.4
376,7493.4
377,12489
378,9991.2
379,9991.2
380,14986.8
381,4995.6
382,12489
383,9991.2
384,12489
385,14986.8
386,14986.8
387,14986.8
388,0
389,7493.4
390,4995.6
391,2497.8
392,17484.6
393,17484.6
394,12489
395,2497.8
396,22480.2
397,9991.2
398,12489
399,27475.8
400,19982.4
401,17484.6
402,17484.6
403,22480.2
404,22480.2
405,19982.4
406,12489
407,29973.6
408,4995.6
409,17484.6
410,9991.2
411,4995.6
412,4995.6
413,4995.6
414,7493.4
415,4995.6
416,4995.6
417,7493.4
418,12489
419,12489
420,14986.8
421,12489
422,14986.8
423,12489
424,14986.8
425,12489
426,2497.8
427,4995.6
428,7493.4
429,0
430,4995.6
431,9991.2
432,14986.8
433,24978
434,7493.4
435,12489
436,17484.6
437,7493.4
438,2497.8
439,7493.4
440,32471.4
441,27475.8
442,12489
443,14986.8
444,19982.4
445,14986.8
446,14986.8
447,7493.4
448,19982.4
449,17484.6
450,4995.6
451,17484.6
452,7493.4
453,4995.6
454,14986.8
455,0
456,24978
457,14986.8
458,24978
459,19982.4
460,24978
461,12489
462,27475.8
463,2497.8
464,7493.4
465,29973.6
466,9991.2
467,7493.4
468,19982.4
469,4995.6
470,7493.4
471,14986.8
472,7493.4
473,4995.6
474,4995.6
475,7493.4
476,12489
477,12489
478,7493.4
479,12489
480,19982.4
481,9991.2
482,12489
483,12489
484,4995.6
485,7493.4
486,4995.6
487,17484.6
488,17484.6
489,4995.6
490,9991.2
491,2497.8
492,7493.4
493,14986.8
494,22480.2
495,22480.2
496,4995.6
497,9991.2
498,14986.8
499,12489
500,2497.8
501,24978
502,12489
503,9991.2
504,17484.6
505,4995.6
506,9991.2
507,7493.4
508,22480.2
509,2497.8
510,4995.6
511,12489
512,24978
513,0
514,12489
515,9991.2
516,19982.4
517,7493.4
518,12489
519,7493.4
520,4995.6
521,7493.4
522,27475.8
523,12489
524,14986.8
525,4995.6
526,9991.2
527,4995.6
528,14986.8
529,7493.4
530,14986.8
531,4995.6
532,2497.8
533,32471.4
534,19982.4
535,14986.8
536,34969.2
537,19982.4
538,2497.8
539,14986.8
540,7493.4
541,14986.8
542,9991.2
543,14986.8
544,9991.2
545,39964.8
546,29973.6
547,7493.4
548,39964.8
549,14986.8
550,22480.2
551,12489
552,44960.4
553,9991.2
554,4995.6
555,2497.8
556,19982.4
557,7493.4
558,17484.6
559,12489
560,2497.8
561,4995.6
562,4995.6
563,14986.8
564,24978
565,24978
566,12489
567,0
568,12489
569,9991.2
570,42462.6
571,14986.8
572,9991.2
573,4995.6
574,19982.4
575,7493.4
576,7493.4
577,9991.2
578,4995.6
579,22480.2
580,17484.6
581,0
582,19982.4
583,12489
584,2497.8
585,17484.6
586,4995.6
587,7493.4
588,4995.6
589,9991.2
590,22480.2
591,14986.8
592,12489
593,12489
594,14986.8
595,2497.8
596,0
597,22480.2
598,7493.4
599,9991.2
600,7493.4
601,17484.6
602,19982.4
603,9991.2
604,4995.6
605,17484.6
606,2497.8
607,4995.6
608,7493.4
609,4995.6
610,24978
611,4995.6
612,4995.6
613,12489
614,17484.6
615,9991.2
616,24978
617,12489
618,22480.2
619,12489
620,12489
621,19982.4
622,7493.4
623,9991.2
624,0
625,17484.6
626,9991.2
627,4995.6
628,9991.2
629,4995.6
630,7493.4
631,14986.8
632,2497.8
633,4995.6
634,9991.2
635,14986.8
636,7493.4
637,9991.2
638,12489
639,39964.8
640,12489
641,2497.8
642,17484.6
643,17484.6
644,29973.6
645,0
646,9991.2
647,9991.2
648,4995.6
649,9991.2
650,9991.2
651,7493.4
652,0
653,19982.4
654,12489
655,9991.2
656,2497.8
657,9991.2
658,2497.8
659,2497.8
660,32471.4
661,0
662,17484.6
663,4995.6
664,7493.4
665,4995.6
666,2497.8
667,4995.6
668,7493.4
669,19982.4
670,7493.4
671,2497.8
672,12489
673,19982.4
674,17484.6
675,9991.2
676,4995.6
677,9991.2
678,17484.6
679,9991.2
680,9991.2
681,7493.4
682,12489
683,17484.6
684,7493.4
685,4995.6
686,7493.4
687,19982.4
688,17484.6
689,2497.8
690,32471.4
691,19982.4
692,4995.6
693,14986.8
694,17484.6
695,14986.8
696,19982.4
697,7493.4
698,7493.4
699,4995.6
700,19982.4
701,17484.6
702,27475.8
703,9991.2
704,2497.8
705,4995.6
706,7493.4
707,0
708,9991.2
709,4995.6
710,9991.2
711,7493.4
712,7493.4
713,19982.4
714,27475.8
715,12489
716,7493.4
717,17484.6
718,7493.4
719,7493.4
720,19982.4
721,19982.4
722,7493.4
723,17484.6
724,17484.6
725,9991.2
726,4995.6
727,14986.8
728,19982.4
729,7493.4
730,9991.2
731,17484.6
732,7493.4
733,2497.8
734,7493.4
735,14986.8
736,17484.6
737,7493.4
738,39964.8
739,9991.2
740,7493.4
741,12489
742,7493.4
743,22480.2
744,14986.8
745,12489
746,9991.2
747,9991.2
748,4995.6
749,9991.2
750,2497.8
751,12489
752,12489
753,7493.4
754,12489
755,7493.4
756,7493.4
757,7493.4
758,0
759,12489
760,7493.4
761,17484.6
762,7493.4
763,9991.2
764,14986.8
765,14986.8
766,9991.2
767,9991.2
768,9991.2
769,0
770,12489
771,22480.2
772,2497.8
773,19982.4
774,22480.2
775,7493.4
776,2497.8
777,4995.6
778,19982.4
779,4995.6
780,27475.8
781,12489
782,14986.8
783,9991.2
784,12489
785,27475.8
786,2497.8
787,4995.6
788,14986.8
789,2497.8
790,12489
791,27475.8
792,4995.6
793,12489
794,22480.2
795,7493.4
796,12489
797,7493.4
798,4995.6
799,9991.2
800,4995.6
801,19982.4
802,7493.4
803,4995.6
804,9991.2
805,19982.4
806,14986.8
807,12489
808,12489
809,12489
810,19982.4
811,17484.6
812,19982.4
813,19982.4
814,12489
815,14986.8
816,12489
817,19982.4
818,14986.8
819,39964.8
820,0
821,14986.8
822,22480.2
823,9991.2
824,9991.2
825,14986.8
826,37467
827,2497.8
828,9991.2
829,19982.4
830,7493.4
831,7493.4
832,4995.6
833,7493.4
834,12489
835,19982.4
836,9991.2
837,17484.6
