"threshold","mean_x","empirical_cv","predicted_cv","cv_agreement","acc_cv","rel_error","acc_conc","scenario"
10,20,38.19,38.92,0.73,1.92,0.153,0.153,"With tablet error"
25,50,24.82,24.81,0.01,0.03,0.0132,0.0132,"With tablet error"
50,100.2,17.83,17.75,0.08,0.45,0.2285,0.2285,"With tablet error"
100,200.4,12.89,12.86,0.03,0.22,0.1994,0.1994,"With tablet error"
200,400.5,9.44,9.51,0.07,0.72,0.1245,0.1245,"With tablet error"
400,802.7,7.19,7.27,0.08,1.11,0.3313,0.3313,"With tablet error"
500,1002.5,6.64,6.74,0.1,1.52,0.2503,0.2503,"With tablet error"
600,1174.2,5.03,6.37,1.35,26.85,-2.1465,2.1465,"With tablet error"
700,1226.9,3.46,6.16,2.7,77.93,-12.3665,12.3665,"With tablet error"
800,NA,NA,NA,NA,NA,NA,NA,"With tablet error"
